term,label,confidence
pollution global,strong related,0.6656
warming says,strong related,0.3601
rain floods,strong related,0.3601
warming emissions,strong related,0.7646
global deforestation,strong related,0.9043
heat wave,strong related,0.7407
climatology,strong related,0.6656
fracking depleting,strong related,0.3544
shifts rainfall,strong related,0.6753
climate extremes,strong related,1
effect climate,strong related,0.6826
thanks fracking,strong related,0.3544
warming caused,strong related,0.6914
tackle climate,strong related,1
acid rain,strong related,0.66
change climate,strong related,0.757
shale,strong related,0.5295
gas emissions,strong related,0.6364
manage fracking,strong related,0.3636
weather extremes,strong related,0.7537
world global,strong related,0.3467
deforestation dengue,strong related,0.6602
mitigate climate,strong related,1
trapped sea,strong related,0.3555
carbon emissions,strong related,0.6399
fight deforestation,strong related,1
climate,strong related,0.6399
melting sea,strong related,0.5321
water scarcity,strong related,0.6712
global carbon,strong related,0.9233
heat extremes,strong related,1
effect global,strong related,0.6777
permafrost,strong related,0.6933
geoengineering climate,strong related,0.7955
degrees flood,strong related,0.6627
solar,strong related,1
mass extinction,strong related,0.3412
gas methane,strong related,0.6749
rising sea,strong related,0.5587
ozone hole,strong related,0.7731
global,strong related,1
companies caused,strong related,0.36
climate weather,strong related,0.6883
clean water,strong related,0.3595
fracking projects,strong related,0.6619
emissions reduction,strong related,1
water pollution,strong related,1
warming double,strong related,1
warming temperatures,strong related,0.7999
loss arctic,strong related,0.6593
water climate,strong related,0.6722
rain storms,strong related,0.6385
deforestation,strong related,0.6933
predictable extinction,strong related,0.6649
global extinction,strong related,1
disprove global,strong related,0.6582
promote renewable,strong related,1
drilling,strong related,0.35
warming arctic,strong related,1
renewable energy,strong related,0.6628
extreme weather,strong related,0.3484
warming climate,strong related,1
globalwarming,strong related,1
warming pollution,strong related,0.65
gassy cows,strong related,0.6929
warming criers,strong related,0.351
gas climate,strong related,0.64
carbon tax,strong related,0.3387
ice caps,strong related,0.6788
ipcc climate,strong related,0.6543
extremes solar,strong related,1
polar ice,strong related,0.6582
prevent methane,strong related,0.6407
climate benefits,strong related,1
preventing extinction,strong related,0.6553
deforestation global,strong related,1
blame global,strong related,1
warming impact,strong related,1
carbon offset,strong related,0.6455
emissions,strong related,0.6729
carbon pollution,strong related,0.6745
greenhouse gases,strong related,0.6832
