Id,keyword,keyword_type,active_status,since_id,count,last_access,last_status_desc,max_id
946,windfarm,NULL,0,423739256243499008,0,2014-05-26 14:30:57,success,335400727562289153
948,,NULL,0,NULL,0,2014-06-02 13:01:07,success,NULL
949,aerosol,NULL,0,423784111153483776,0,2014-06-02 12:12:44,success,335400727562289153
950,Aerosol-cloud interaction,NULL,0,NULL,0,2014-06-02 13:39:41,success,335400727562289153
951,Aerosol-radiation interaction,NULL,0,NULL,0,2014-06-02 13:11:42,success,266192033641795584
952,Afforestation,NULL,0,423751102916341760,0,2014-05-26 15:10:39,success,335400727562289153
953,air quality,NULL,0,423754703496024064,0,2014-06-02 12:57:17,success,335400727562289153
954,arctic ice,NULL,0,423788271802388480,0,2014-06-02 12:26:30,success,266192033641795584
955,Atlantic Multi-decadal Oscillation,NULL,0,NULL,0,2014-05-26 13:37:04,success,266192033641795584
956,Atmosphere-Ocean General Circulation Model,NULL,0,NULL,0,2014-05-26 13:27:29,success,335400727562289153
957,Atmospheric boundary layer,NULL,0,421734393229492224,0,2014-06-02 12:46:48,success,266192033641795584
958,Atmospheric lifetime,NULL,0,423369164863324160,0,2014-05-26 13:38:14,success,335400727562289153
959,Autotrophic respiration,NULL,0,423233913608486912,0,2014-05-26 13:47:23,success,266192033641795584
960,biofuel,NULL,0,423770193601765376,0,2014-05-26 15:02:47,success,335400727562289153
961,biomass,NULL,0,423754363010428929,0,2014-05-26 15:04:04,success,335400727562289153
962,Brewer-Dobson circulation,NULL,0,423782390377754624,0,2014-05-26 13:40:15,success,335400727562289153
963,cap and trade,NULL,0,423768431796555776,0,2014-05-26 14:22:37,success,266192033641795584
964,carbon dioxide,NULL,0,423786191360917505,0,2014-06-02 12:04:19,success,335400727562289153
965,carbon dioxide concentration,NULL,0,423133222202277888,0,2014-05-26 14:13:40,success,335400727562289153
966,carbon dioxide emission,NULL,0,423549270050885633,0,2014-06-02 12:28:53,success,266192033641795584
967,Carbon dioxide fertilization,NULL,0,NULL,0,2014-06-02 11:21:22,success,266192033641795584
968,Carbon Dioxide Removal,NULL,0,423762015258025984,0,2014-06-02 11:36:01,success,335400727562289153
969,carbon emission,NULL,0,423783105322029056,0,2014-06-02 12:55:52,success,266192033641795584
970,carbon offset,NULL,0,423712684790390784,0,2014-06-02 12:38:21,success,335400727562289153
971,carbon sequestration,NULL,0,423714248380776448,0,2014-05-26 15:17:42,success,335400727562289153
972,carbon tax,NULL,0,423768503846727680,0,2014-05-26 14:16:28,success,266192033641795584
973,ccsp,NULL,0,423683793065480192,0,2014-05-26 14:34:22,success,266192033641795584
974,chlorofluorcarbon,NULL,0,NULL,0,2014-05-26 14:00:10,success,266192033641795584
975,Clausius-Clapeyron,NULL,0,423253671095570432,0,2014-05-26 15:20:41,success,266192033641795584
976,Climate change,NULL,0,423713764274614272,0,2014-06-02 11:40:01,success,266192033641795584
977,Climate change commitment,NULL,0,423696688491298816,0,2014-05-26 14:13:07,success,335400727562289153
978,climate change science program,NULL,0,423040073488404480,0,2014-06-02 12:08:35,success,335400727562289153
979,climate extremes,NULL,0,423723503146115072,0,2014-06-02 13:53:38,success,266192033641795584
980,climate feedback,NULL,0,423747731228618752,0,2014-05-26 13:53:42,success,335400727562289153
